path_prefix,owner,group,default_mode
/,root,root,755
/public,root,root,755
/public/announcements,root,staff,755
/public/shared,root,users,777
/internal,root,employees,750
/internal/projects,root,developers,770
/internal/reports,root,analysts,750
/internal/documentation,root,employees,750
/confidential,root,executives,750
/confidential/finance,root,finance,750
/confidential/strategy,root,executives,750
/confidential/hr,root,hr,750
/confidential/.hidden,root,root,700
/home,root,root,755
/home/alice,alice,alice,700
/home/alice/documents,alice,alice,700
/home/alice/.ssh,alice,alice,700
/home/bob,bob,bob,750
/home/bob/documents,bob,bob,750
/home/bob/projects,bob,developers,750
/home/eve,eve,eve,755
/home/eve/public_only,eve,users,755
/home/charlie,charlie,charlie,750
/home/charlie/analysis,charlie,analysts,750
/shared,root,users,775
/shared/team_alpha,root,team_alpha,770
/shared/team_beta,root,team_beta,770
/shared/temp,root,users,777
/admin,root,admin,750
/admin/logs,root,admin,750
/admin/configs,root,admin,750
/admin/backups,root,admin,750
/test,root,testers,755
/test/read_only,root,testers,444
/test/write_only,root,testers,222
/test/no_access,root,root,000
