role,resource,read,write,delete,execute
admin,/,Y,Y,Y,Y
admin,/admin,Y,Y,Y,Y
admin,/confidential,Y,Y,Y,Y
admin,/confidential/.hidden,Y,Y,Y,Y
security,/confidential,Y,N,N,N
security,/admin/logs,Y,Y,N,N
security,/admin/configs,Y,Y,N,N
finance,/confidential/finance,Y,Y,N,N
finance,/internal/reports,Y,Y,N,N
hr,/confidential/hr,Y,Y,N,N
hr,/home,Y,N,N,N
manager,/confidential,Y,N,N,N
manager,/internal,Y,Y,Y,N
manager,/shared,Y,Y,Y,N
analyst,/internal/projects,Y,Y,N,N
analyst,/internal/reports,Y,N,N,N
analyst,/internal/documentation,Y,N,N,N
analyst,/shared,Y,Y,N,N
analyst,/public,Y,N,N,N
developer,/internal/projects,Y,Y,Y,Y
developer,/internal/documentation,Y,Y,N,N
developer,/shared,Y,Y,N,N
developer,/public,Y,Y,N,N
employee,/internal,Y,N,N,N
employee,/shared,Y,Y,N,N
employee,/public,Y,N,N,N
contractor,/internal/projects,Y,N,N,N
contractor,/shared,Y,Y,N,N
contractor,/public,Y,N,N,N
guest,/public,Y,N,N,N
guest,/shared/temp,Y,Y,N,N
auditor,/,Y,N,N,N
test_readonly,/test/read_only,Y,N,N,N
test_writeonly,/test/write_only,N,Y,N
test_nodelete,/test,Y,Y,N,N
